status,migration,file
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py
A,核心资产，优先迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\database.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\version.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\distro.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__init__.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distro\__main__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\codec.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\compat.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\core.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\idnadata.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\intranges.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\package_data.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\uts46data.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\idna\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\ext.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\markers.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\metadata.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\requirements.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\tags.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\utils.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\version.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_elffile.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_parser.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_structures.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\api.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\version.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\console.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filter.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\modeline.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\plugin.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\style.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\token.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\util.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\__main__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal256.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\python.py
A,核心资产，优先迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\styles\_mapping.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\_in_process.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\adapters.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\api.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\auth.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\certs.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\compat.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\cookies.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\requests\exceptions.py
