layers,classes,file,functions
DECISION|REPORT,SelfCheckState|UpgradePrompt,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py,_get_statefile_name|_convert_date|was_installed_by_pip|_get_current_remote_pip_version|_self_version_check_logic|pip_self_version_check|__init__|key|get|set|__rich__
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py,_contains_egg_info|_should_build|should_build_for_wheel_command|should_build_for_install_command|_should_cache|_get_cache_dir|_verify_one|_build_one|_build_one_inside_env|_clean_one_legacy|build
DECISION|REPORT,Command,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py,__init__|add_options|handle_pip_version_check|run|_run_wrapper|parse_args|main|_main|_inner_run
DECISION|PREDICTION,PipOption,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py,raise_option_error|make_option_group|check_dist_restriction|_path_option_check|_package_name_option_check|exists_action|extra_index_url|find_links|trusted_host|constraints|requirements|editable|_handle_src|_get_format_control|_handle_no_binary|_handle_only_binary|no_binary|only_binary|_convert_python_version|_handle_python_version|add_target_python_options|make_target_python|prefer_binary|_handle_no_cache_dir|_handle_no_use_pep517|_handle_config_settings|_handle_merge_hash|check_list_path_option
DECISION,CommandContextMixIn,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py,__init__|main_context|enter_context
PREDICTION|REPORT,,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py,create_main_parser|identify_python_interpreter|parse_command
DECISION,PrettyHelpFormatter|UpdatingDefaultsHelpFormatter|CustomOptionParser|ConfigOptionParser,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py,__init__|format_option_strings|_format_option_strings|format_heading|format_usage|format_description|format_epilog|indent_lines|expand_default|insert_option_group|option_list_all|__init__|check_default|_get_ordered_configuration_items|_update_defaults|get_default_values|error
DECISION,RequirementCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py,with_cleanup|configure_tempdir_registry|wrapper|__init__|determine_resolver_variant|make_requirement_preparer|make_resolver|get_requirements|trace_basic_info|_build_package_finder
DECISION|PREDICTION,SpinnerInterface|InteractiveSpinner|NonInteractiveSpinner|RateLimiter,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py,open_spinner|hidden_cursor|spin|finish|__init__|_write|spin|finish|__init__|_update|spin|finish|__init__|ready|reset
DECISION|PREDICTION,CacheCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py,add_options|run|get_cache_dir|get_cache_info|list_cache_items|format_for_human|format_for_abspath|remove_cache_items|purge_cache|_cache_dir|_find_http_files|_find_wheels
PREDICTION,CheckCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py,run
PREDICTION|REPORT,ConfigurationCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py,add_options|run|_determine_file|list_values|get_name|set_name_value|unset_name|list_config_values|print_config_file_values|print_env_var_values|open_in_editor|_get_n_args|_save_configuration|_determine_editor
PREDICTION,DebugCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py,show_value|show_sys_implementation|create_vendor_txt_map|get_module_from_module_name|get_vendor_version_from_module|show_actual_vendor_versions|show_vendor_versions|show_tags|ca_bundle_info|add_options|run
PREDICTION,DownloadCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py,add_options|run
PREDICTION,FreezeCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py,_should_suppress_build_backends|_dev_pkgs|add_options|run
DECISION|PREDICTION,HashCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py,_hash_of_file|add_options|run
DECISION|PREDICTION,IndexCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py,add_options|run|_build_package_finder|get_available_package_versions
PREDICTION|REPORT,InspectCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py,add_options|run|_dist_to_dict
DECISION|PREDICTION|REPORT,InstallCommand,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py,get_lib_location_guesses|site_packages_writable|decide_user_install|create_os_error_message|add_options|run|_handle_target_dir|_determine_conflicts|_warn_about_conflicts
DECISION|PREDICTION|REPORT,ListCommand|_DistWithLatestInfo,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py,format_for_columns|format_for_json|add_options|handle_pip_version_check|_build_package_finder|run|get_outdated|get_uptodate|get_not_required|iter_packages_latest_infos|output_package_listing|output_package_listing_columns|latest_info
PREDICTION|REPORT,SearchCommand|TransformedHit,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py,transform_hits|print_dist_installation_info|print_results|highest_version|add_options|run|search
PREDICTION|REPORT,ShowCommand|_PackageInfo,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py,search_packages_info|print_results|add_options|run|_get_requiring_packages
PREDICTION|REPORT,,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py,create_command|get_similar_commands
DECISION|PREDICTION|REPORT,_NotAPIContent|_NotHTTP|CacheablePageContent|ParseLinks|IndexContent|HTMLLinkParser|CollectedSources|LinkCollector,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py,_match_vcs_scheme|_ensure_api_header|_ensure_api_response|_get_simple_response|_get_encoding_from_headers|with_cached_index_content|parse_links|_handle_get_simple_fail|_make_index_content|_get_index_content|__init__|__init__|__eq__|__hash__|__call__|wrapper|wrapper_wrapper|__str__|__init__|handle_starttag|get_href|__init__|create|find_links|fetch_response|collect_sources
DECISION|PREDICTION|REPORT,LinkType|LinkEvaluator|CandidatePreferences|BestCandidateResult|CandidateEvaluator|PackageFinder,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py,_check_link_requires_python|filter_unallowed_hashes|_find_name_version_sep|_extract_version_from_fragment|__init__|evaluate_link|__post_init__|create|__init__|get_applicable_candidates|_sort_key|sort_best_candidate|compute_best_candidate|__init__|create|target_python|search_scope|search_scope|find_links|index_urls|proxy|trusted_hosts|custom_cert|client_cert|allow_all_prereleases|set_allow_all_prereleases|prefer_binary|set_prefer_binary|requires_python_skipped_reasons|make_link_evaluator|_sort_links|_log_skipped_link|get_install_candidate|evaluate_links|process_project_url|find_all_candidates|make_candidate_evaluator|find_best_candidate|find_requirement|_format_versions|_should_install_candidate
PREDICTION,LinkSource|_FlatDirectoryToUrls|_FlatDirectorySource|_LocalFileSource|_RemoteFileSource|_IndexDirectorySource,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py,_is_html_file|build_source|link|page_candidates|file_links|__init__|_scan_directory|page_candidates|project_name_to_urls|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links|__init__|link|page_candidates|file_links
DECISION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py,distutils_scheme|get_scheme|get_bin_prefix|get_purelib|get_platlib
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py,_should_use_osx_framework_prefix|_infer_prefix|_infer_user|_infer_home|get_scheme|get_bin_prefix|get_purelib|get_platlib
DECISION|REPORT,,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py,_should_use_sysconfig|_looks_like_bpo_44860|_looks_like_red_hat_patched_platlib_purelib|_looks_like_red_hat_lib|_looks_like_debian_scheme|_looks_like_red_hat_scheme|_looks_like_slackware_scheme|_looks_like_msys2_mingw_scheme|_fix_abiflags|_warn_mismatched|_warn_if_mismatch|_log_context|get_scheme|get_bin_prefix|get_bin_user|_looks_like_deb_system_dist_packages|get_purelib|get_platlib
REPORT,BaseEntryPoint|RequiresEntry|BaseDistribution|BaseEnvironment|Wheel|FilesystemWheel|MemoryWheel,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py,_convert_installed_files_path|name|value|group|from_directory|from_metadata_file_contents|from_wheel|__repr__|__str__|location|editable_project_location|installed_location|info_location|installed_by_distutils|installed_as_egg|installed_with_setuptools_egg_info|installed_with_dist_info|canonical_name|version|raw_version|setuptools_filename|direct_url|installer|requested|editable|local|in_usersite|in_site_packages|is_file|iter_distutils_script_names|read_text|iter_entry_points|_metadata_impl|metadata|metadata_dict|metadata_version|raw_name|requires_python|iter_dependencies|iter_raw_dependencies|iter_provided_extras|_iter_declared_entries_from_record|_iter_declared_entries_from_legacy|iter_declared_entries|_iter_requires_txt_entries|_iter_egg_info_extras|_iter_egg_info_dependencies|_add_egg_info_requires|default|from_paths|get_distribution|_iter_distributions|iter_all_distributions|iter_installed_distributions|as_zipfile|__init__|as_zipfile|__init__|as_zipfile
REPORT,EntryPoint|InMemoryMetadata|Distribution|Environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py,__init__|has_metadata|get_metadata|get_metadata_lines|metadata_isdir|metadata_listdir|run_script|__init__|_extra_mapping|from_directory|from_metadata_file_contents|from_wheel|location|installed_location|info_location|installed_by_distutils|canonical_name|version|raw_version|is_file|iter_distutils_script_names|read_text|iter_entry_points|_metadata_impl|iter_dependencies|iter_provided_extras|__init__|default|from_paths|_iter_distributions|_search_distribution|get_distribution
PREDICTION|REPORT,,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py,json_name|msg_to_json|sanitise_header
PREDICTION,_DistributionFinder|Environment,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py,_looks_like_wheel|_emit_egg_deprecation|__init__|_find_impl|find|find_linked|_find_eggs_in_dir|_find_eggs_in_zip|find_eggs|__init__|default|from_paths|_iter_distributions|get_distribution
REPORT,DirectUrlValidationError|VcsInfo|ArchiveInfo|DirInfo|DirectUrl,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py,_get|_get_required|_exactly_one_of|_filter_none|_from_dict|_to_dict|__init__|hash|hash|_from_dict|_to_dict|_from_dict|_to_dict|_remove_auth_from_netloc|redacted_url|validate|from_dict|to_dict|from_json|to_json|is_local_editable
PREDICTION,FormatControl,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py,__init__|__eq__|__repr__|handle_mutual_excludes|get_allowed_formats|disallow_binaries
REPORT,InstallationReport,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py,__init__|_install_req_to_dict|to_dict
DECISION|PREDICTION|REPORT,LinkHash|MetadataFile|Link|_CleanResult,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py,supported_hashes|_clean_url_path_part|_clean_file_url_path|_clean_url_path|_ensure_quoted_url|_absolute_link_url|_clean_link|links_equivalent|__post_init__|find_hash_url_fragment|as_dict|as_hashes|is_hash_allowed|__post_init__|__init__|from_json|from_element|__str__|__repr__|__hash__|__eq__|__lt__|url|filename|file_path|scheme|netloc|path|splitext|ext|url_without_fragment|_egg_fragment|subdirectory_fragment|metadata_link|as_hashes|hash|hash_name|show_url|is_file|is_existing_dir|is_wheel|is_vcs|is_yanked|has_hash|is_hash_allowed
DECISION,SelectionPreferences,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py,__init__
PREDICTION|RUNTIME,Credentials|KeyRingBaseProvider|KeyRingNullProvider|KeyRingPythonProvider|KeyRingCliProvider|MultiDomainBasicAuth,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py,get_keyring_provider|get_auth_info|save_auth_info|get_auth_info|save_auth_info|__init__|get_auth_info|save_auth_info|__init__|get_auth_info|save_auth_info|_get_password|_set_password|__init__|keyring_provider|keyring_provider|use_keyring|_get_keyring_auth|_get_index_url|_get_new_credentials|_get_url_and_credentials|__call__|_prompt_for_password|_should_save_password_to_keyring|handle_401|warn_on_401|save_credentials|PATH_as_shutil_which_determines_it
DECISION,SafeFileCache,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py,is_from_cache|suppressed_cache_errors|__init__|_get_cache_path|get|_write|set|delete|get_body|set_body
PREDICTION,Downloader|BatchDownloader,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py,_get_http_response_size|_prepare_download|sanitize_content_filename|parse_content_disposition|_get_http_response_filename|_http_get_download|__init__|__call__|__init__|__call__
DECISION,HTTPRangeRequestUnsupported|LazyZipOverHTTP,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py,dist_from_wheel_url|__init__|mode|name|seekable|close|closed|read|readable|seek|tell|truncate|writable|__enter__|__exit__|_stay|_check_zip|_stream_response|_merge|_download
DECISION|PREDICTION|REPORT|RUNTIME,LocalFSAdapter|_SSLContextAdapterMixin|HTTPAdapter|CacheControlAdapter|InsecureHTTPAdapter|InsecureCacheControlAdapter|PipSession,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py,looks_like_ci|user_agent|send|close|__init__|init_poolmanager|cert_verify|cert_verify|__init__|update_index_urls|add_trusted_host|iter_secure_origins|is_secure_origin|request
PREDICTION,PackageDetails,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py,create_package_set_from_installed|check_package_set|check_install_conflicts|check_unsupported|_simulate_installation_of|_create_whitelist
REPORT,File|RequirementPreparer,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py,_get_prepared_distribution|unpack_vcs_link|get_http_url|get_file_url|unpack_url|_check_download_dir|__post_init__|__init__|_log_preparing_link|_ensure_link_req_src_dir|_get_linked_req_hashes|_fetch_metadata_only|_fetch_metadata_using_link_data_attr|_fetch_metadata_using_lazy_wheel|_complete_partial_requirements|prepare_linked_requirement|prepare_linked_requirements_more|_prepare_linked_requirement|save_linked_requirement|prepare_editable_requirement|prepare_installed_requirement
DECISION,TrackerId|BuildTracker,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py,update_env_context_manager|get_build_tracker|__init__|__enter__|__exit__|_entry_path|add|remove|cleanup|track
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py,format_command_result|get_legacy_build_wheel_path|build_wheel_legacy
PREDICTION|REPORT,ZipBackedFile|ScriptFile|MissingCallableSuffix|PipScriptMaker|File,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py,rehash|csv_io_kwargs|fix_script|wheel_root_is_purelib|get_entrypoints|message_about_scripts_not_on_PATH|_normalized_outrows|_record_to_fs_path|_fs_to_record_path|get_csv_rows_for_installed|get_console_script_specs|_raise_for_invalid_entrypoint|_install_wheel|req_error_context|install_wheel|__init__|_getinfo|save|__init__|save|__init__|make|record_installed|is_dir_path|assert_no_path_traversal|root_scheme_file_maker|data_scheme_file_maker|is_data_scheme_path|is_script_scheme_path|is_entrypoint_wrapper|pyc_source_file_paths|pyc_output_path|_generate_file|save|make_root_scheme_file|make_data_scheme_file
DECISION|PREDICTION,RequirementParts,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py,_strip_extras|convert_extras|_set_requirement_extras|parse_editable|check_first_requirement_in_file|deduce_helpful_msg|parse_req_from_editable|install_req_from_editable|_looks_like_path|_get_url_from_path|parse_req_from_line|install_req_from_line|install_req_from_req_string|install_req_from_parsed_requirement|install_req_from_link_and_ireq|install_req_drop_extras|install_req_extend_extras|with_source|_parse_req_string
PREDICTION,ParsedRequirement|ParsedLine|RequirementsFileParser|OptionParsingError,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py,parse_requirements|preprocess|handle_requirement_line|handle_option_line|handle_line|get_line_parser|break_args_options|build_parser|join_lines|ignore_comments|expand_env_variables|get_file_content|_decode_req_file|is_editable|requirement|__init__|parse|_parse_and_recurse|_parse_file|parse_line|__init__|parser_exit
PREDICTION,InstallRequirement,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py,check_invalid_constraint_type|_has_option|check_legacy_setup_py_options|__init__|__str__|__repr__|format_debug|name|supports_pyproject_editable|specifier|is_direct|is_pinned|match_markers|has_hash_options|hashes|from_path|ensure_build_location|_set_requirement|warn_on_mismatching_name|check_if_exists|is_wheel|is_wheel_from_cache|unpacked_source_directory|setup_py_path|setup_cfg_path|pyproject_toml_path|load_pyproject_toml|isolated_editable_sanity_check|prepare_metadata|metadata|get_dist|assert_source_matches_version|ensure_has_source_dir|needs_unpacked_archive|ensure_pristine_source_checkout|update_editable|uninstall|_get_archive_name|archive|install|_clean_zip_name
PREDICTION,StashedUninstallPathSet|UninstallPathSet|UninstallPthEntries,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py,_script_names|_unique|uninstallation_paths|compact|compress_for_rename|compress_for_output_listing|unique|norm_join|__init__|_get_directory_stash|_get_file_stash|stash|commit|rollback|can_rollback|__init__|_permitted|add|add_pth|remove|_allowed_to_proceed|rollback|commit|from_dist|__init__|add|remove|rollback|_display|iter_scripts_to_remove
PREDICTION,InstallationResult,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py,_validate_requirements|install_given_reqs
DECISION|REPORT,Resolver,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py,_check_dist_requires_python|__init__|resolve|_add_requirement_to_set|_is_upgrade_allowed|_set_req_to_reinstall|_check_skip_installed|_find_requirement_link|_populate_link|_get_dist_for|_resolve_one|get_installation_order|add_req|schedule
DECISION|PREDICTION|REPORT|RUNTIME,_InstallRequirementBackedCandidate|LinkCandidate|EditableCandidate|AlreadyInstalledCandidate|ExtrasCandidate|RequiresPythonCandidate,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py,as_base_candidate|make_install_req_from_link|make_install_req_from_editable|_make_install_req_from_dist|__init__|__str__|__repr__|__hash__|__eq__|source_link|project_name|name|version|format_for_error|_prepare_distribution|_check_metadata_consistency|_prepare|iter_dependencies|get_install_requirement|__init__|_prepare_distribution|__init__|_prepare_distribution|__init__|__str__|__repr__|__eq__|__hash__|project_name|name|version|is_editable|format_for_error|iter_dependencies|get_install_requirement|__init__|__str__|__repr__|__hash__|__eq__|project_name|name|version|format_for_error|is_installed|is_editable|source_link|iter_dependencies|get_install_requirement|__init__|__str__|project_name|name|version|format_for_error|iter_dependencies|get_install_requirement
PREDICTION|REPORT,CollectedRootRequirements|Factory|ConflictCause,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py,__init__|force_reinstall|_fail_if_link_is_unsupported_wheel|_make_extras_candidate|_make_candidate_from_dist|_make_candidate_from_link|_make_base_candidate_from_link|_iter_found_candidates|_iter_explicit_candidates_from_base|_iter_candidates_from_constraints|find_candidates|_make_requirements_from_install_req|collect_root_requirements|make_requirement_from_candidate|make_requirements_from_spec|make_requires_python_requirement|get_wheel_cache_entry|get_dist_to_uninstall|_report_requires_python_error|_report_single_requirement_conflict|get_installation_error|_get_installed_candidate|iter_index_candidate_infos|text_join|describe_trigger|is_pinned
RUNTIME,PipProvider,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,_get_with_identifier|__init__|identify|get_preference|find_matches|is_satisfied_by|get_dependencies|is_backtrack_cause|_eligible_for_upgrade
REPORT|RUNTIME,PipReporter|PipDebuggingReporter,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py,__init__|rejecting_candidate|starting|starting_round|ending_round|ending|adding_requirement|rejecting_candidate|pinning
DECISION,ExplicitRequirement|SpecifierRequirement|SpecifierWithoutExtrasRequirement|RequiresPythonRequirement|UnsatisfiableRequirement,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py,__init__|__str__|__repr__|__hash__|__eq__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|_equal|__str__|__repr__|__eq__|__hash__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|_equal|__eq__|__hash__|__init__|__str__|__repr__|__hash__|__eq__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by|__init__|__str__|__repr__|__eq__|__hash__|project_name|name|format_for_error|get_candidate_lookup|is_satisfied_by
PREDICTION|REPORT,Resolver,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py,get_topological_weights|_req_set_item_sorter|__init__|resolve|get_installation_order|visit
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py,version_info_to_nodot|_mac_platforms|_ios_platforms|_custom_manylinux_platforms|_get_custom_platforms|_expand_allowed_platforms|_get_python_version|_get_custom_interpreter|get_supported
DECISION|PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py,check_path_owner|adjacent_tmp_file|test_writable_dir|_test_writable_dir_win|find_files|file_size|format_file_size|directory_size|format_directory_size
DECISION,Hashes|MissingHashes,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py,__init__|__and__|digest_count|is_hash_allowed|check_against_chunks|_raise|check_against_file|check_against_path|has_one_of|__bool__|__eq__|__hash__|__init__|_raise
DECISION|PREDICTION,BrokenStdoutLoggingError|IndentingFormatter|IndentedRenderable|PipConsole|RichPipStreamHandler|BetterRotatingFileHandler|MaxLevelFilter|ExcludeLoggerFilter,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py,_is_broken_pipe_error|indent_log|get_indentation|setup_logging|__init__|get_message_start|format|__rich_console__|on_broken_pipe|__init__|emit|handleError|_open|__init__|filter|filter
DECISION|PREDICTION,StreamWrapper|HiddenText|ConfiguredBuildBackendHookCaller,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py,get_pip_version|normalize_version_info|ensure_dir|get_prog|rmtree|_onerror_ignore|_onerror_reraise|rmtree_errorhandler|display_path|backup_dir|ask_path_exists|_check_no_input|ask|ask_input|ask_password|strtobool|format_size|tabulate|is_installable_dir|read_chunks|normalize_path|splitext|renames|is_local|write_output|enum|build_netloc|build_url_from_netloc|parse_netloc|split_auth_from_netloc|redact_netloc|_transform_url|_get_netloc|_redact_netloc|split_auth_netloc_from_url|remove_auth_from_url|redact_auth_from_url|redact_auth_from_requirement|hide_value|hide_url|protect_pip_from_modification_on_windows|check_externally_managed|is_console_interactive|hash_file|pairwise|partition|warn_if_run_as_root|from_stream|encoding|__repr__|__str__|__eq__|__init__|build_wheel|build_sdist|build_editable|get_requires_for_build_wheel|get_requires_for_build_sdist|get_requires_for_build_editable|prepare_metadata_for_build_wheel|prepare_metadata_for_build_editable
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\packaging.py,check_requires_python|get_requirement|safe_extra
